titulo,grupo,latitud,longitud,link
Aqui no hay playa,The Refrescos,40.3973232,-3.7107377,https://open.spotify.com/track/6P1Lksu4JnHZhxwn8svo7x
Madrid,Pereza,40.4268824,-3.7099033,https://open.spotify.com/track/2EIh5ErBtGcTLrhuQvbsYM
La chica de ayer,Antonio Vega,40.4639143,-3.8806845,https://open.spotify.com/track/4h0C2BFERrF47uSPRj3o5B
Pongamos que hablo de Madrid,Los porretas,40.4066892,-3.6932751,https://open.spotify.com/track/6RVCZgNqZQQSRDFtE7zFwt
El sitio de mi recreo,Antonio Vega,40.404427,-3.6754809,https://open.spotify.com/track/7m0uZjqt8l3sxefOEUjVOx
Jim Dinamita,Burning,40.4238226,-3.6625384,https://open.spotify.com/track/3GkHKkxn5YRSotPRPTaUaX
Vallecas 1996,Topo,40.3954316,-3.6661575,https://open.spotify.com/track/6BqpC2E2BVbN2eLpKZPSUu
Eva Tomando el Sol,Joaquin Sabina,40.410221892326255,-3.6517227090162185,https://open.spotify.com/track/15jM7DErmSXTLdkz3j65ST
Motivos de un sentimiento,Joaquin Sabina,40.401811089197835,-3.720692744907726,https://open.spotify.com/track/6fH0xY2CuEbPpusDqwS2WL
Pongamos que hablo de Madrid,Antonio Flores,40.40869217502132,-3.6919580906407172,https://open.spotify.com/track/4UcO0ZYuBWEyh0xDgrMU6M
En las calles de Madrid,Loquillo y los Trogloditas,40.42637956266505,-3.701323154029363,https://open.spotify.com/track/5Li1s9VQ6fTIc1pkNwc6oR
Movida Madrileña,El Coleta,40.426834568510365,-3.702929377987835,https://open.spotify.com/track/3xMRuwOAC2tt1Ge6VL1vWa
Por la Calle de Alcalá,Celia Gámez,40.41753553001382,-3.7005605467715887,https://open.spotify.com/track/4AOLU9F2FbqB035icTzbh2
Moratalá,Melendi,40.409010228064965,-3.645114477885729,https://open.spotify.com/track/4gcTmo4tIo9N1pnwqwhQI0
Moratalaz,La banda del otro lado,40.40771935570201,-3.647495777345942,https://open.spotify.com/track/16K9svAUU3uw6tvRYKynvk
La soleada tarde de domingo en un parque de Moratalaz,La Cabra Mecánica,40.40823538865299,-3.6387301701891044,https://open.spotify.com/track/5SoZAUOFUX7YH6DyTifgNL
Lady Madrid,Pereza,40.41074126567543,-3.7072371965071294,https://open.spotify.com/track/5NQw5WJwKRPaaSDHXD04Fs
Madrid,Ana María González,40.42000456198264,-3.7015052378400055,https://open.spotify.com/track/3Lksidqkfp4kEbUXWYWv01
Vente Pa Madrid,Ketama,40.30887015057089,-3.7324005249519168,https://open.spotify.com/track/5KMChmQt6Wrk72v4eMERAZ
Y Aún Arde Madrid,Porretas,40.4228900116227,-3.65607119820683,https://open.spotify.com/track/4r7vz1kEBlF6bQb0BUuett
El Rastro,Marea,40.41089913946582,-3.7072214240137966,https://open.spotify.com/track/3X2bx31tJ0tF4md47GmCuT
